age,workclass,fnlwgt,education,education_num,name,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
38,Private,300975,Masters,14,x591695268,Married-civ-spouse,Other-service,Husband,Black,Male,0,1485,40,NA,0
50,Self-emp-inc,52565,Some-college,10,x917010303,Married-civ-spouse,Sales,Husband,White,Male,0,1485,40,United-States,0
38,Private,123833,Some-college,10,x617267943,Never-married,Other-service,Not-in-family,White,Male,0,1408,40,United-States,0
41,Private,41901,Some-college,10,x562760556,Never-married,Craft-repair,Not-in-family,White,Male,0,1408,40,United-States,0
33,Local-gov,262042,HS-grad,9,x570783379,Divorced,Adm-clerical,Own-child,White,Female,0,1138,40,United-States,0
32,Private,203674,Assoc-acdm,12,x341765858,Divorced,Prof-specialty,Unmarried,White,Female,0,880,36,United-States,0
39,Private,81487,Some-college,10,x626397068,Divorced,Exec-managerial,Unmarried,White,Female,0,625,40,United-States,0
67,NA,184506,11th,7,x331450887,Married-civ-spouse,NA,Husband,White,Male,0,419,3,United-States,0
68,Private,32779,HS-grad,9,x066502323,Married-civ-spouse,Transport-moving,Husband,White,Male,0,419,12,United-States,0
70,Self-emp-inc,379819,Some-college,10,x696187209,Married-civ-spouse,Sales,Husband,White,Male,10566,0,40,United-States,0
67,Private,257557,7th-8th,4,x287934060,Married-civ-spouse,Transport-moving,Husband,Black,Male,10566,0,40,United-States,0
34,Private,212064,HS-grad,9,x414208315,Separated,Adm-clerical,Unmarried,White,Female,7443,0,35,United-States,0
38,Private,22494,Some-college,10,x299562928,Divorced,Adm-clerical,Not-in-family,White,Female,7443,0,40,United-States,0
29,Private,190539,Bachelors,13,x384658242,Never-married,Sales,Not-in-family,White,Male,6849,0,48,United-States,0
39,Private,87556,Masters,14,x722123263,Never-married,Prof-specialty,Not-in-family,White,Male,6849,0,40,United-States,0
25,Private,194897,HS-grad,9,x962794120,Never-married,Sales,Own-child,Amer-Indian-Eskimo,Male,6849,0,40,United-States,0
33,Private,108328,Some-college,10,x330820481,Never-married,Adm-clerical,Not-in-family,White,Female,6849,0,50,United-States,0
41,Private,200671,Bachelors,13,x971305564,Divorced,Transport-moving,Own-child,Black,Male,6497,0,40,United-States,0
38,Private,188503,Some-college,10,x333738516,Never-married,Adm-clerical,Unmarried,White,Female,6497,0,35,United-States,0
37,State-gov,252939,Assoc-voc,11,x276176809,Never-married,Prof-specialty,Unmarried,Black,Female,5455,0,40,United-States,0
60,Local-gov,48788,Bachelors,13,x309067575,Separated,Prof-specialty,Unmarried,White,Female,5455,0,55,United-States,0
30,Local-gov,346122,Assoc-acdm,12,x890173322,Married-civ-spouse,Protective-serv,Husband,White,Male,5013,0,45,United-States,0
48,Private,248059,Bachelors,13,x111615944,Married-civ-spouse,Exec-managerial,Husband,White,Male,5013,0,45,United-States,0
32,Private,343789,HS-grad,9,x083513707,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5013,0,55,United-States,0
43,Federal-gov,25005,Masters,14,x804887090,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,5013,0,12,United-States,0
35,Self-emp-not-inc,185848,HS-grad,9,x899792337,Never-married,Exec-managerial,Not-in-family,White,Male,4650,0,50,United-States,0
36,Private,208358,9th,5,x899752267,Divorced,Handlers-cleaners,Not-in-family,White,Male,4650,0,56,United-States,0
28,Private,334368,Assoc-voc,11,x953719019,Never-married,Prof-specialty,Not-in-family,White,Female,4650,0,40,United-States,0
40,Private,289748,Bachelors,13,x074484088,Never-married,Exec-managerial,Not-in-family,White,Female,4650,0,48,United-States,0
31,Private,347166,Some-college,10,x111963995,Divorced,Craft-repair,Own-child,White,Male,4650,0,40,United-States,0
60,Private,184183,HS-grad,9,x332440875,Divorced,Machine-op-inspct,Not-in-family,White,Male,4650,0,40,United-States,0
62,Private,138253,Masters,14,x944892556,Never-married,Handlers-cleaners,Not-in-family,White,Male,4650,0,40,United-States,0
32,Federal-gov,386877,Assoc-voc,11,x102232259,Never-married,Tech-support,Own-child,Black,Male,4650,0,40,United-States,0
39,Private,291665,HS-grad,9,x858424039,Married-civ-spouse,Adm-clerical,Husband,White,Male,4508,0,24,United-States,0
22,Private,200109,HS-grad,9,x854184993,Married-civ-spouse,Priv-house-serv,Wife,White,Female,4508,0,40,United-States,0
32,Private,201988,Prof-school,15,x430189258,Married-civ-spouse,Sales,Husband,White,Male,4508,0,40,NA,0
24,Private,556660,HS-grad,9,x170480455,Never-married,Exec-managerial,Other-relative,White,Male,4101,0,50,United-States,0
32,Local-gov,217296,HS-grad,9,x976173405,Married-civ-spouse,Transport-moving,Wife,White,Female,4064,0,22,United-States,0
47,Private,170850,HS-grad,9,x800690331,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,4064,0,60,United-States,0
31,Local-gov,176185,Bachelors,13,x758931374,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,4064,0,40,NA,0
42,Private,195096,HS-grad,9,x879423510,Married-civ-spouse,Sales,Husband,White,Male,4064,0,40,United-States,0
47,Private,200471,Assoc-voc,11,x832444777,Married-civ-spouse,Adm-clerical,Husband,White,Male,4064,0,40,United-States,0
45,Private,192835,HS-grad,9,x826493122,Married-civ-spouse,Other-service,Husband,White,Male,3942,0,40,United-States,0
41,Local-gov,103759,Some-college,10,x920148601,Married-civ-spouse,Transport-moving,Husband,White,Male,3942,0,40,United-States,0
36,Private,160035,HS-grad,9,x271678406,Married-civ-spouse,Craft-repair,Husband,White,Male,3908,0,55,United-States,0
59,Private,191965,11th,7,x607238416,Married-civ-spouse,Other-service,Wife,White,Female,3908,0,28,United-States,0
38,Private,36989,Bachelors,13,x352839329,Married-civ-spouse,Other-service,Husband,White,Male,3908,0,70,United-States,0
21,Private,163870,10th,6,x893814560,Married-civ-spouse,Other-service,Husband,White,Male,3908,0,40,United-States,0
34,Private,231043,Assoc-voc,11,x501506006,Married-civ-spouse,Adm-clerical,Husband,White,Male,3908,0,45,United-States,0
21,NA,262280,Some-college,10,x695359799,Married-civ-spouse,NA,Wife,White,Female,3781,0,40,United-States,0
48,Private,373366,1st-4th,2,x243887727,Married-civ-spouse,Farming-fishing,Husband,White,Male,3781,0,50,Mexico,0
35,Private,538583,11th,7,x767155981,Separated,Transport-moving,Not-in-family,Black,Male,3674,0,40,United-States,0
24,Private,103064,Bachelors,13,x590233490,Never-married,Tech-support,Not-in-family,White,Female,3674,0,40,United-States,0
37,Private,259846,Assoc-voc,11,x385528625,Married-civ-spouse,Adm-clerical,Husband,White,Male,3471,0,40,United-States,0
72,Private,116640,Some-college,10,x606855455,Married-civ-spouse,Prof-specialty,Husband,White,Male,3471,0,20,United-States,0
38,Self-emp-not-inc,184456,HS-grad,9,x802338655,Married-civ-spouse,Other-service,Husband,White,Male,3464,0,80,Italy,0
36,Private,115360,10th,6,x439573262,Married-civ-spouse,Machine-op-inspct,Own-child,White,Female,3464,0,40,United-States,0
51,Private,122159,Some-college,10,x568816342,Widowed,Prof-specialty,Not-in-family,White,Female,3325,0,40,United-States,0
58,Private,140363,HS-grad,9,x623080860,Divorced,Machine-op-inspct,Not-in-family,White,Male,3325,0,30,United-States,0
26,Private,120238,Bachelors,13,x540094057,Never-married,Craft-repair,Not-in-family,White,Male,3325,0,40,United-States,0
60,Private,128367,Some-college,10,x618986673,Divorced,Prof-specialty,Unmarried,White,Male,3325,0,42,United-States,0
29,Private,157612,Bachelors,13,x677762157,Never-married,Sales,Not-in-family,White,Female,3325,0,45,United-States,0
40,Private,222011,Masters,14,x987534185,Never-married,Prof-specialty,Not-in-family,White,Female,3325,0,40,United-States,0
40,Private,168071,Assoc-voc,11,x149409895,Divorced,Tech-support,Not-in-family,White,Male,3325,0,40,United-States,0
52,Private,114228,HS-grad,9,x537237874,Divorced,Craft-repair,Not-in-family,White,Male,3325,0,40,United-States,0
46,State-gov,327786,Assoc-voc,11,x679397086,Divorced,Tech-support,Not-in-family,White,Female,3325,0,42,United-States,0
66,Local-gov,376506,Doctorate,16,x036875046,Divorced,Prof-specialty,Not-in-family,White,Female,3273,0,40,United-States,0
68,Private,191581,Masters,14,x486978168,Never-married,Prof-specialty,Not-in-family,White,Female,3273,0,40,United-States,0
41,Private,282948,Some-college,10,x547214316,Married-civ-spouse,Tech-support,Husband,Black,Male,3137,0,40,United-States,0
57,Self-emp-not-inc,57071,Some-college,10,x942367512,Married-civ-spouse,Craft-repair,Husband,White,Male,3137,0,40,United-States,0
37,Private,78928,9th,5,x773698708,Married-civ-spouse,Other-service,Husband,White,Male,3137,0,40,United-States,0
35,Private,180686,HS-grad,9,x403061043,Married-civ-spouse,Craft-repair,Husband,White,Male,3137,0,40,United-States,0
60,Self-emp-not-inc,95445,Some-college,10,x666754572,Married-civ-spouse,Transport-moving,Husband,White,Male,3137,0,46,United-States,0
31,Self-emp-not-inc,265807,Assoc-voc,11,x869407879,Married-civ-spouse,Exec-managerial,Husband,White,Male,3137,0,50,United-States,0
52,Local-gov,30118,Some-college,10,x270933811,Married-civ-spouse,Protective-serv,Husband,White,Male,3137,0,42,United-States,0
79,Private,172220,7th-8th,4,x162703972,Widowed,Priv-house-serv,Not-in-family,White,Female,2964,0,30,United-States,0
90,Self-emp-not-inc,82628,HS-grad,9,x900146018,Never-married,Exec-managerial,Not-in-family,White,Male,2964,0,12,United-States,0
23,Private,55674,Bachelors,13,x308795428,Never-married,Protective-serv,Not-in-family,White,Female,2907,0,40,United-States,0
23,NA,138768,Bachelors,13,x538907764,Never-married,NA,Own-child,White,Male,2907,0,40,United-States,0
18,Private,225859,Some-college,10,x964632736,Never-married,Transport-moving,Own-child,White,Male,2907,0,30,United-States,0
41,Private,187821,HS-grad,9,x102249287,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2885,0,40,United-States,0
27,Private,57052,HS-grad,9,x293565740,Married-civ-spouse,Craft-repair,Husband,White,Male,2885,0,40,United-States,0
50,Private,108933,9th,5,x318583613,Married-civ-spouse,Craft-repair,Husband,White,Male,2885,0,40,United-States,0
26,Private,182178,Some-college,10,x696456550,Married-civ-spouse,Craft-repair,Husband,White,Male,2829,0,40,United-States,0
54,Self-emp-not-inc,108435,Some-college,10,x360548414,Married-civ-spouse,Transport-moving,Husband,White,Male,2829,0,30,United-States,0
34,Private,340917,Prof-school,15,x016867388,Married-civ-spouse,Exec-managerial,Husband,White,Male,2829,0,50,NA,0
27,Private,215955,Some-college,10,x566605899,Married-civ-spouse,Adm-clerical,Husband,White,Male,2829,0,40,United-States,0
53,Private,257940,HS-grad,9,x352023721,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2829,0,40,United-States,0
70,Self-emp-not-inc,139889,Some-college,10,x566106455,Married-civ-spouse,Farming-fishing,Husband,White,Male,2653,0,70,United-States,0
33,Private,133503,HS-grad,9,x760862507,Married-civ-spouse,Protective-serv,Husband,White,Male,2635,0,16,United-States,0
54,NA,31588,HS-grad,9,x100791062,Married-civ-spouse,NA,Husband,White,Male,2635,0,40,United-States,0
35,Self-emp-not-inc,241469,9th,5,x340617008,Married-civ-spouse,Craft-repair,Husband,White,Male,2635,0,30,United-States,0
26,Private,262617,HS-grad,9,x656779765,Never-married,Craft-repair,Other-relative,White,Male,2597,0,40,United-States,0
28,Private,212091,HS-grad,9,x673979782,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2580,0,40,United-States,0
24,Private,141113,7th-8th,4,x542700597,Married-civ-spouse,Sales,Husband,White,Male,2580,0,40,United-States,0
30,Private,326199,9th,5,x057095286,Married-civ-spouse,Craft-repair,Husband,White,Male,2580,0,40,United-States,0
42,Private,322385,Assoc-voc,11,x654510825,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2407,0,40,United-States,0
65,Self-emp-not-inc,78875,Some-college,10,x635361663,Married-civ-spouse,Exec-managerial,Husband,White,Male,2290,0,40,United-States,0
28,Local-gov,50512,Bachelors,13,x692620986,Never-married,Prof-specialty,Not-in-family,White,Female,2202,0,50,United-States,0
22,Private,205939,Bachelors,13,x689356474,Never-married,Exec-managerial,Own-child,White,Male,2202,0,4,United-States,0
36,Private,177907,Bachelors,13,x120732072,Never-married,Other-service,Not-in-family,White,Male,2176,0,20,NA,0
27,Private,177955,5th-6th,3,x199305845,Never-married,Priv-house-serv,Other-relative,White,Female,2176,0,40,El-Salvador,0
29,Private,177119,Assoc-voc,11,x955971044,Divorced,Tech-support,Not-in-family,White,Female,2174,0,45,United-States,0
39,Private,115418,Some-college,10,x935070831,Never-married,Adm-clerical,Own-child,White,Female,2174,0,45,United-States,0
32,Private,107793,HS-grad,9,x071100330,Divorced,Other-service,Own-child,White,Male,2174,0,40,United-States,0
41,Private,45156,HS-grad,9,x288307176,Never-married,Machine-op-inspct,Not-in-family,White,Male,2174,0,41,United-States,0
69,Private,106595,HS-grad,9,x185218747,Widowed,Adm-clerical,Not-in-family,White,Female,1848,0,40,United-States,0
29,Private,326330,Some-college,10,x323477428,Divorced,Exec-managerial,Own-child,White,Female,1831,0,40,United-States,0
40,Private,341204,Some-college,10,x091422790,Divorced,Exec-managerial,Unmarried,White,Female,1831,0,30,United-States,0
39,Private,99357,Masters,14,x533491147,Divorced,Prof-specialty,Own-child,White,Female,1506,0,40,United-States,0
76,Private,93125,HS-grad,9,x825994783,Married-civ-spouse,Sales,Husband,White,Male,1424,0,24,United-States,0
20,NA,206671,Some-college,10,x182727368,Never-married,NA,Own-child,White,Male,1055,0,50,United-States,0
72,NA,289930,Bachelors,13,x408402037,Separated,NA,Not-in-family,White,Female,991,0,7,United-States,0
48,Private,210424,HS-grad,9,x948867217,Separated,Adm-clerical,Unmarried,White,Female,914,0,40,United-States,0
28,Private,183597,Doctorate,16,x796920756,Never-married,Prof-specialty,Not-in-family,White,Male,594,0,50,Germany,0
38,Private,82552,HS-grad,9,x754317695,Never-married,Handlers-cleaners,Not-in-family,White,Male,594,0,50,United-States,0
24,Private,270872,HS-grad,9,x792629169,Never-married,Craft-repair,Other-relative,White,Male,594,0,40,NA,0
17,Private,232713,10th,6,x258087809,Never-married,Craft-repair,Not-in-family,White,Male,594,0,30,United-States,0
18,Private,199039,12th,8,x918604401,Never-married,Sales,Own-child,White,Male,594,0,14,United-States,0
17,Private,106733,11th,7,x858147966,Never-married,Craft-repair,Own-child,White,Male,594,0,40,United-States,0
38,State-gov,354591,HS-grad,9,x368661579,Never-married,Other-service,Unmarried,Black,Female,114,0,38,United-States,0
20,Private,59948,9th,5,x876204858,Never-married,Adm-clerical,Unmarried,Black,Female,114,0,20,United-States,0
39,Private,151023,Some-college,10,x608138469,Divorced,Adm-clerical,Unmarried,White,Female,114,0,45,United-States,0
38,Private,215646,HS-grad,9,x339564980,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,0
34,Private,245487,7th-8th,4,x397678556,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,45,Mexico,0
59,Private,109015,HS-grad,9,x875573849,Divorced,Tech-support,Unmarried,White,Female,0,0,40,United-States,0
48,Self-emp-not-inc,265477,Assoc-acdm,12,x287832353,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
25,Private,289980,HS-grad,9,x420985321,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,35,United-States,0
29,Private,105598,Some-college,10,x771947822,Divorced,Tech-support,Not-in-family,White,Male,0,0,58,United-States,0
31,Private,309974,Bachelors,13,x732141204,Separated,Sales,Own-child,Black,Female,0,0,40,United-States,0
31,Local-gov,125927,7th-8th,,x039074477,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0
30,Private,54334,9th,5,x663145027,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,0
40,Private,118853,Bachelors,13,x770996172,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,0
19,Private,316868,Some-college,10,x762843860,Never-married,Other-service,Own-child,White,Male,0,0,30,Mexico,0
31,Private,185814,HS-grad,9,x786949551,Never-married,Transport-moving,Unmarried,Black,Female,0,0,30,United-States,0
42,Private,228456,Bachelors,13,x817530084,Separated,Other-service,Other-relative,Black,Male,0,0,50,United-States,0
68,NA,38317,1st-4th,2,x609777359,Divorced,NA,Not-in-family,White,Female,0,0,20,United-States,0
36,Private,207157,Some-college,10,x117769482,Divorced,Other-service,Unmarried,White,Female,0,0,40,Mexico,0
34,Private,304030,HS-grad,9,x967145336,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,0
31,Private,99928,Masters,14,x454744253,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,0
47,Private,120939,Some-college,10,x878303839,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,United-States,0
64,NA,187656,1st-4th,2,x878796037,Divorced,NA,Not-in-family,White,Male,0,0,40,United-States,0
26,Private,378322,11th,7,x803973531,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
21,Private,205759,HS-grad,9,x414360240,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,0
29,Local-gov,220419,Bachelors,,x473065461,Never-married,Protective-serv,Not-in-family,White,Male,0,0,56,United-States,0
58,Self-emp-not-inc,321171,HS-grad,9,x916791208,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0
26,Self-emp-not-inc,117125,9th,5,x704873370,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Portugal,0
19,Private,25429,Some-college,10,x483362332,Never-married,Adm-clerical,Own-child,White,Female,0,0,16,United-States,0
28,Private,110145,HS-grad,9,x072658466,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
20,Private,61777,Some-college,10,x556720256,Married-civ-spouse,Sales,Husband,White,Male,0,0,30,United-States,0
33,Private,228528,10th,6,x163367101,Never-married,Craft-repair,Unmarried,White,Female,0,0,35,United-States,0
80,NA,107762,HS-grad,9,x237830231,Widowed,NA,Not-in-family,White,Male,0,0,24,United-States,0
17,NA,202521,11th,7,x088836758,Never-married,NA,Own-child,White,Male,0,0,40,United-States,0
45,Private,45857,HS-grad,9,x301714269,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,28,United-States,0
44,Private,290521,HS-grad,9,x476278459,Widowed,Exec-managerial,Unmarried,Black,Female,0,0,40,United-States,0
51,Private,56915,HS-grad,9,x716697886,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,0
17,Private,211870,9th,5,x768829703,Never-married,Other-service,Not-in-family,White,Male,0,0,6,United-States,0
33,Private,111746,Assoc-acdm,12,x154014329,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,Portugal,0
40,Private,347934,HS-grad,9,x319047049,Never-married,Other-service,Not-in-family,White,Female,0,0,35,United-States,0
41,Private,343121,HS-grad,9,x984090988,Divorced,Adm-clerical,Unmarried,White,Female,0,0,36,United-States,0
20,Private,262749,Some-college,10,x134500449,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,0
21,NA,204226,Some-college,10,x169109150,Never-married,NA,Unmarried,White,Female,0,0,35,United-States,0
74,Private,99183,Some-college,10,x530890826,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,9,United-States,0
30,Private,237903,Some-college,10,x851069019,Never-married,Handlers-cleaners,Unmarried,White,Female,0,0,40,United-States,0
38,Self-emp-not-inc,267556,HS-grad,9,x271010422,Married-civ-spouse,Sales,Husband,White,Male,0,0,64,United-States,0
58,Self-emp-not-inc,204021,HS-grad,9,x648958122,Widowed,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,0
66,NA,149422,7th-8th,4,x249625601,Never-married,NA,Not-in-family,White,Male,0,0,4,United-States,0
41,Private,195124,Masters,14,x276403417,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,35,Dominican-Republic,0
25,NA,202480,Assoc-acdm,12,x132657993,Never-married,NA,Other-relative,White,Male,0,0,45,United-States,0
60,Private,177665,HS-grad,9,x900875128,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,United-States,0
19,State-gov,378418,HS-grad,9,x637915200,Never-married,Tech-support,Own-child,White,Female,0,0,40,United-States,0
46,State-gov,193047,Bachelors,,x292221050,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,37,United-States,0
